table(1,1,95).
table(1,2,74).
table(1,3,71).
table(1,4,31).
table(1,5,18).
table(1,6,84).
table(1,7,49).
table(1,8,68).
table(2,1,55).
table(2,2,80).
table(2,3,20).
table(2,4,44).
table(2,5,42).
table(2,6,6).
table(2,7,22).
table(2,8,26).
table(3,1,25).
table(3,2,90).
table(3,3,85).
table(3,4,24).
table(3,5,10).
table(3,6,30).
table(3,7,29).
table(3,8,65).
table(4,1,46).
table(4,2,53).
table(4,3,1).
table(4,4,78).
table(4,5,55).
table(4,6,75).
table(4,7,45).
table(4,8,32).
table(5,1,89).
table(5,2,81).
table(5,3,23).
table(5,4,57).
table(5,5,98).
table(5,6,11).
table(5,7,13).
table(5,8,22).
table(6,1,71).
table(6,2,51).
table(6,3,94).
table(6,4,42).
table(6,5,42).
table(6,6,88).
table(6,7,97).
table(6,8,13).
table(7,1,46).
table(7,2,61).
table(7,3,79).
table(7,4,70).
table(7,5,11).
table(7,6,55).
table(7,7,90).
table(7,8,74).
table(8,1,41).
table(8,2,45).
table(8,3,79).
table(8,4,46).
table(8,5,51).
table(8,6,10).
table(8,7,68).
table(8,8,53).
