table(1,1,10000).
table(1,2,67).
table(1,3,58).
table(1,4,87).
table(1,5,8).
table(1,6,55).
table(1,7,7).
table(1,8,3).
table(2,1,39).
table(2,2,10000).
table(2,3,50).
table(2,4,11).
table(2,5,31).
table(2,6,98).
table(2,7,74).
table(2,8,71).
table(3,1,31).
table(3,2,18).
table(3,3,10000).
table(3,4,84).
table(3,5,49).
table(3,6,68).
table(3,7,55).
table(3,8,20).
table(4,1,44).
table(4,2,42).
table(4,3,6).
table(4,4,10000).
table(4,5,22).
table(4,6,26).
table(4,7,25).
table(4,8,90).
table(5,1,24).
table(5,2,10).
table(5,3,30).
table(5,4,29).
table(5,5,10000).
table(5,6,65).
table(5,7,46).
table(5,8,53).
table(6,1,1).
table(6,2,55).
table(6,3,75).
table(6,4,45).
table(6,5,32).
table(6,6,10000).
table(6,7,89).
table(6,8,81).
table(7,1,23).
table(7,2,57).
table(7,3,11).
table(7,4,13).
table(7,5,22).
table(7,6,71).
table(7,7,10000).
table(7,8,51).
table(8,1,94).
table(8,2,42).
table(8,3,42).
table(8,4,97).
table(8,5,13).
table(8,6,46).
table(8,7,61).
table(8,8,10000).
