table(1,1,10000).
table(1,2,14).
table(1,3,41).
table(1,4,69).
table(1,5,89).
table(1,6,0).
table(1,7,45).
table(1,8,74).
table(1,9,65).
table(2,1,86).
table(2,2,10000).
table(2,3,13).
table(2,4,37).
table(2,5,68).
table(2,6,6).
table(2,7,17).
table(2,8,70).
table(2,9,93).
table(3,1,69).
table(3,2,66).
table(3,3,10000).
table(3,4,72).
table(3,5,47).
table(3,6,22).
table(3,7,74).
table(3,8,79).
table(3,9,78).
table(4,1,74).
table(4,2,24).
table(4,3,57).
table(4,4,10000).
table(4,5,50).
table(4,6,19).
table(4,7,34).
table(4,8,67).
table(4,9,58).
table(5,1,87).
table(5,2,8).
table(5,3,55).
table(5,4,7).
table(5,5,10000).
table(5,6,3).
table(5,7,39).
table(5,8,50).
table(5,9,11).
table(6,1,31).
table(6,2,98).
table(6,3,74).
table(6,4,71).
table(6,5,31).
table(6,6,10000).
table(6,7,18).
table(6,8,84).
table(6,9,49).
table(7,1,68).
table(7,2,55).
table(7,3,20).
table(7,4,44).
table(7,5,42).
table(7,6,6).
table(7,7,10000).
table(7,8,22).
table(7,9,26).
table(8,1,25).
table(8,2,90).
table(8,3,24).
table(8,4,10).
table(8,5,30).
table(8,6,29).
table(8,7,65).
table(8,8,10000).
table(8,9,46).
table(9,1,53).
table(9,2,1).
table(9,3,55).
table(9,4,75).
table(9,5,45).
table(9,6,32).
table(9,7,89).
table(9,8,81).
table(9,9,10000).
